mgm_id	id_0	seq_tech_0	location_0
mgm4575333.3	AR3	AMP	Argentinian tropical forest
mgm4575334.3	BZ1	AMP	boreal forest, Alaska
mgm4575335.3	CL1	AMP	South Carolina forest
mgm4575336.3	DF1	AMP	forest in North Carolina
mgm4575337.3	EB017	AMP	McMurdo dry valley, Antarctica
mgm4575338.3	EB019	AMP	McMurdo dry valley, Antarctica
mgm4575339.3	EB020	AMP	McMurdo dry valley, Antarctica
mgm4575340.3	EB021	AMP	McMurdo dry valley, Antarctica
mgm4575341.3	EB024	AMP	McMurdo dry valley, Antarctica
mgm4575342.3	EB026	AMP	McMurdo dry valley, Antarctica
mgm4575343.3	KP1	AMP	prairie soil, Kansas
mgm4575344.3	MD3	AMP	Mojave Desert, CA
mgm4575345.3	PE6	AMP	tropical rainforest, Peru
mgm4575346.3	SF2	AMP	desert soil, near Santa Fe New Mexico
mgm4575347.3	SV1	AMP	desert soil, Sevilleta, New Mexico
mgm4575348.3	TL1	AMP	arctic tundra, Alaska
